  12,838 positions       0s  33,024/s
  26,905 positions       0s  58,139/s
  2,015,688 positions       5s  384,183/s
  2,035,633 positions       5s  382,623/s
  4,006,355 positions      10s  411,240/s
  4,027,217 positions      10s  411,998/s
  6,000,676 positions      14s  433,619/s
  6,022,366 positions      14s  435,115/s
  8,019,434 positions      18s  437,245/s
  10,008,320 positions      22s  445,945/s
  10,030,837 positions      23s  445,475/s
  12,008,579 positions      27s  448,003/s
  12,031,690 positions      27s  448,851/s
  14,014,477 positions      31s  453,193/s
  14,037,151 positions      31s  453,115/s
  16,014,976 positions      35s  456,017/s
  16,038,387 positions      35s  456,674/s
  18,022,508 positions      39s  456,992/s
  20,004,912 positions      43s  461,924/s
  20,028,683 positions      43s  462,464/s
  22,006,202 positions      47s  464,560/s
  22,030,216 positions      47s  465,060/s
  24,000,095 positions      51s  472,794/s
  24,025,422 positions      51s  472,510/s
  26,012,774 positions      54s  479,921/s
  26,038,100 positions      54s  480,354/s
  28,014,951 positions      58s  485,679/s
  28,039,986 positions      58s  486,001/s
  30,025,952 positions      61s  490,685/s
  32,000,293 positions      64s  497,256/s
  32,026,236 positions      64s  497,653/s
  34,006,504 positions      68s  502,127/s
  34,032,306 positions      68s  502,502/s
  36,011,481 positions      71s  506,629/s
  36,036,457 positions      71s  505,379/s
  38,007,018 positions      74s  510,731/s
  38,032,669 positions      74s  511,071/s
  40,016,943 positions      78s  513,908/s
  42,011,180 positions      81s  516,535/s
  42,037,613 positions      81s  516,846/s
  44,006,590 positions      85s  518,498/s
  44,033,900 positions      85s  518,521/s
  46,016,237 positions      88s  521,241/s
  48,021,887 positions      92s  524,807/s
  50,021,179 positions      95s  526,327/s
  52,016,749 positions      98s  529,103/s
  54,002,001 positions     102s  531,768/s
  54,026,698 positions     102s  532,007/s
  56,000,856 positions     105s  533,403/s
  56,026,497 positions     105s  533,643/s
  58,004,232 positions     108s  536,138/s
  58,028,995 positions     108s  535,848/s
  60,019,853 positions     112s  537,820/s
  62,003,669 positions     115s  539,526/s
  62,030,173 positions     115s  539,753/s
  64,010,251 positions     118s  540,979/s
  64,037,381 positions     118s  540,720/s
  66,023,265 positions     122s  542,314/s
  68,025,038 positions     125s  543,902/s
  70,006,138 positions     128s  544,879/s
  70,031,943 positions     129s  544,940/s
  72,014,423 positions     132s  546,026/s
  74,024,218 positions     135s  546,877/s
  76,016,354 positions     139s  546,694/s
  78,005,918 positions     143s  545,246/s
  78,032,736 positions     143s  545,110/s
  80,024,283 positions     147s  543,355/s
  82,027,336 positions     151s  541,670/s
  84,015,079 positions     155s  541,929/s
  86,025,266 positions     159s  540,040/s
  88,010,068 positions     163s  539,204/s
  88,038,218 positions     163s  539,373/s
  90,007,592 positions     167s  540,265/s
  90,033,819 positions     167s  540,420/s
  92,021,472 positions     170s  541,867/s
  94,022,317 positions     173s  542,735/s
  96,002,678 positions     176s  544,423/s
  96,030,843 positions     176s  544,517/s
  98,020,163 positions     180s  545,082/s
  100,007,533 positions     183s  546,456/s
  100,035,534 positions     183s  546,264/s
  102,015,325 positions     186s  547,104/s
  104,022,545 positions     190s  548,302/s
  106,016,454 positions     193s  549,595/s
  108,010,113 positions     196s  549,779/s
  108,038,551 positions     197s  549,617/s
  110,010,235 positions     200s  550,976/s
  110,038,933 positions     200s  551,118/s
  112,007,389 positions     203s  551,887/s
  112,035,972 positions     203s  551,596/s
  114,006,492 positions     206s  552,394/s
