  12,838 positions       0s  33,942/s
  26,905 positions       0s  58,808/s
  2,015,688 positions       6s  317,464/s
  2,035,633 positions       6s  318,389/s
  4,006,355 positions      12s  329,481/s
  4,027,217 positions      12s  329,529/s
  6,000,676 positions      18s  336,367/s
  6,022,366 positions      18s  336,575/s
  8,019,434 positions      24s  338,921/s
  10,008,320 positions      30s  336,878/s
  10,030,837 positions      30s  337,595/s
  12,008,579 positions      35s  339,765/s
  12,031,690 positions      35s  339,843/s
  14,014,477 positions      41s  339,689/s
  14,037,151 positions      41s  340,027/s
  16,014,976 positions      47s  340,976/s
  16,038,387 positions      47s  341,205/s
  18,022,508 positions      53s  340,817/s
  20,004,912 positions      59s  341,195/s
  20,028,683 positions      59s  341,467/s
  22,006,202 positions      64s  341,636/s
  22,030,216 positions      64s  341,904/s
  24,000,095 positions      70s  342,062/s
  24,025,422 positions      70s  341,951/s
  26,012,774 positions      76s  342,446/s
  26,038,100 positions      76s  342,365/s
  28,014,951 positions      82s  343,053/s
  28,039,986 positions      82s  343,115/s
  30,025,952 positions      87s  343,403/s
  32,000,293 positions      93s  343,762/s
  32,026,236 positions      93s  343,689/s
  34,006,504 positions      99s  344,617/s
  34,032,306 positions      99s  344,637/s
  36,011,481 positions     104s  344,766/s
  36,036,457 positions     104s  344,971/s
  38,007,018 positions     110s  345,235/s
  38,032,669 positions     110s  344,841/s
  40,016,943 positions     116s  345,437/s
  42,011,180 positions     122s  345,215/s
  42,037,613 positions     122s  345,286/s
  44,006,590 positions     127s  345,516/s
  44,033,900 positions     127s  345,550/s
  46,016,237 positions     133s  345,190/s
  48,021,887 positions     139s  345,602/s
  50,021,179 positions     145s  345,749/s
  52,016,749 positions     150s  345,893/s
  54,002,001 positions     156s  346,117/s
  54,026,698 positions     156s  346,273/s
  56,000,856 positions     162s  346,512/s
  56,026,497 positions     162s  346,605/s
  58,004,232 positions     167s  346,395/s
  58,028,995 positions     167s  346,523/s
  60,019,853 positions     173s  346,857/s
  62,003,669 positions     179s  346,941/s
  62,030,173 positions     179s  346,877/s
  64,010,251 positions     184s  347,156/s
  64,037,381 positions     185s  347,022/s
  66,023,265 positions     190s  347,266/s
  68,025,038 positions     196s  347,423/s
  70,006,138 positions     201s  347,630/s
  70,031,943 positions     201s  347,588/s
  72,014,423 positions     207s  347,962/s
  74,024,218 positions     213s  348,255/s
  76,016,354 positions     218s  348,837/s
  78,005,918 positions     223s  349,377/s
  78,032,736 positions     223s  349,442/s
  80,024,283 positions     229s  349,593/s
  82,027,336 positions     235s  349,211/s
  84,015,079 positions     240s  349,340/s
  86,025,266 positions     246s  349,500/s
  88,010,068 positions     252s  349,642/s
  88,038,218 positions     252s  349,490/s
  90,007,592 positions     257s  349,737/s
  90,033,819 positions     258s  349,603/s
  92,021,472 positions     263s  349,604/s
  94,022,317 positions     269s  349,741/s
  96,002,678 positions     275s  349,692/s
  96,030,843 positions     275s  349,722/s
  98,020,163 positions     280s  349,865/s
  100,007,533 positions     286s  350,254/s
  100,035,534 positions     286s  350,040/s
  102,015,325 positions     291s  350,191/s
  104,022,545 positions     297s  350,218/s
  106,016,454 positions     303s  350,169/s
  108,010,113 positions     309s  350,079/s
  108,038,551 positions     309s  350,170/s
  110,010,235 positions     314s  350,436/s
  110,038,933 positions     314s  350,321/s
  112,007,389 positions     320s  350,408/s
  112,035,972 positions     320s  350,447/s
  114,006,492 positions     325s  350,493/s
  114,034,838 positions     325s  350,515/s
  116,003,094 positions     331s  350,579/s
  116,030,814 positions     331s  350,626/s
  118,009,163 positions     337s  350,686/s
  118,036,550 positions     337s  350,709/s
  120,020,227 positions     342s  350,822/s
  122,001,480 positions     348s  351,003/s
  122,029,640 positions     348s  350,917/s
  124,028,375 positions     353s  351,106/s
  126,021,037 positions     359s  351,124/s
  128,019,012 positions     365s  351,210/s
  130,018,122 positions     370s  351,298/s
  132,010,542 positions     376s  351,275/s
  132,038,172 positions     376s  351,323/s
  134,000,184 positions     381s  351,600/s
  134,029,211 positions     381s  351,330/s
  136,012,061 positions     387s  351,523/s
  138,005,989 positions     393s  351,351/s
  138,038,572 positions     393s  351,378/s
  140,007,048 positions     398s  351,729/s
  142,027,664 positions     403s  352,086/s
